forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-04-26,1 day ahead cum death,2020-04-27,US,US,point,NA,60281.757513165474
2020-04-26,2 day ahead cum death,2020-04-28,US,US,point,NA,62843.33175623417
2020-04-26,3 day ahead cum death,2020-04-29,US,US,point,NA,65458.99062258005
2020-04-26,4 day ahead cum death,2020-04-30,US,US,point,NA,67806.37382003665
2020-04-26,5 day ahead cum death,2020-05-01,US,US,point,NA,70090.75838711858
2020-04-26,6 day ahead cum death,2020-05-02,US,US,point,NA,72614.52419447899
2020-04-26,7 day ahead cum death,2020-05-03,US,US,point,NA,73946.30620828271
2020-04-26,8 day ahead cum death,2020-05-04,US,US,point,NA,75853.54028257728
2020-04-26,9 day ahead cum death,2020-05-05,US,US,point,NA,78201.95649588108
2020-04-26,10 day ahead cum death,2020-05-06,US,US,point,NA,80843.77754285932
2020-04-26,11 day ahead cum death,2020-05-07,US,US,point,NA,83366.89847573638
2020-04-26,12 day ahead cum death,2020-05-08,US,US,point,NA,85471.31586006284
2020-04-26,13 day ahead cum death,2020-05-09,US,US,point,NA,87268.79562866688
2020-04-26,14 day ahead cum death,2020-05-10,US,US,point,NA,88351.7961460352
2020-04-26,1 day ahead cum death,2020-04-27,01,Alabama,point,NA,294.10007777810097
2020-04-26,2 day ahead cum death,2020-04-28,01,Alabama,point,NA,314.49980986118317
2020-04-26,3 day ahead cum death,2020-04-29,01,Alabama,point,NA,323.8279309272766
2020-04-26,4 day ahead cum death,2020-04-30,01,Alabama,point,NA,328.93250599503517
2020-04-26,5 day ahead cum death,2020-05-01,01,Alabama,point,NA,341.2799271643162
2020-04-26,6 day ahead cum death,2020-05-02,01,Alabama,point,NA,346.7689315378666
2020-04-26,7 day ahead cum death,2020-05-03,01,Alabama,point,NA,354.4100492298603
2020-04-26,8 day ahead cum death,2020-05-04,01,Alabama,point,NA,369.9764947593212
2020-04-26,9 day ahead cum death,2020-05-05,01,Alabama,point,NA,387.7605349123478
2020-04-26,10 day ahead cum death,2020-05-06,01,Alabama,point,NA,401.87574476003647
2020-04-26,11 day ahead cum death,2020-05-07,01,Alabama,point,NA,425.4474267363548
2020-04-26,12 day ahead cum death,2020-05-08,01,Alabama,point,NA,445.7145820558071
