State,County,fips,ICU Beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed
Alabama,Autauga,1001,6,55036,10523,19.1,1754
Alabama,Baldwin,1003,51,203360,53519,26.3,1049
Alabama,Barbour,1005,5,26201,6150,23.5,1230
Alabama,Bibb,1007,0,22580,4773,21.1,null
Alabama,Blount,1009,6,57667,13600,23.6,2267
Alabama,Bullock,1011,0,10478,2371,22.6,null
Alabama,Butler,1013,7,20126,5151,25.6,736
Alabama,Calhoun,1015,24,115527,27115,23.5,1130
Alabama,Chambers,1017,0,33895,8501,25.1,null
Alabama,Cherokee,1019,0,25855,7513,29.1,null
Alabama,Chilton,1021,6,43805,9429,21.5,1572
Alabama,Choctaw,1023,0,13188,3759,28.5,null
Alabama,Clarke,1025,0,24625,6134,24.9,null
Alabama,Clay,1027,4,13407,3480,26,870
Alabama,Cleburne,1029,0,14939,3691,24.7,null
Alabama,Coffee,1031,7,51073,11027,21.6,1575
Alabama,Colbert,1033,22,54435,14062,25.8,639
Alabama,Conecuh,1035,0,12649,3542,28,null
Alabama,Coosa,1037,0,10955,3145,28.7,null
Alabama,Covington,1039,13,37519,10290,27.4,792
Alabama,Crenshaw,1041,0,13866,3371,24.3,null
Alabama,Cullman,1043,12,81703,19667,24.1,1639
Alabama,Dale,1045,6,49393,10498,21.3,1750
Alabama,Dallas,1047,18,40755,9436,23.2,524
Alabama,DeKalb,1049,12,71194,15782,22.2,1315
Alabama,Elmore,1051,5,80989,15929,19.7,3186
Alabama,Escambia,1053,14,37621,8677,23.1,620
Alabama,Etowah,1055,56,103132,25122,24.4,449
Alabama,Fayette,1057,12,16657,4604,27.6,384
Alabama,Franklin,1059,7,31507,7054,22.4,1008
Alabama,Geneva,1061,6,26572,6716,25.3,1119
Alabama,Greene,1063,0,8533,2352,27.6,null
Alabama,Hale,1065,0,14995,3945,26.3,null
Alabama,Henry,1067,0,17110,4834,28.3,null
Alabama,Houston,1069,66,104108,23474,22.5,356
Alabama,Jackson,1071,10,52326,13441,25.7,1344
