,STNAME,County,fips,TOT_POP,0-9,0-9 y/o % of total pop,10-19,10-19 y/o % of total pop,20-29,20-29 y/o % of total pop,30-39,30-39 y/o % of total pop,40-49,40-49 y/o % of total pop,50-59,50-59 y/o % of total pop,60-69,60-69 y/o % of total pop,70-79,70-79 y/o % of total pop,80+,80+ y/o % of total pop,White-alone pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,Two or more races pop,% Two or more races
0,Alabama,Autauga,1001,55601,6787,12.20661499,7637,13.73536447,6878,12.37028111,7089,12.74977069,7582,13.63644539,7738,13.91701588,5826,10.47822881,4050,7.284041654,2014,3.62223701,42660,76.72523875,10915,19.63094189,267,0.4802071905,681,1.224798115,62,0.1115087858,1016,1.827305264
1,Alabama,Baldwin,1003,218022,24757,11.35527607,26913,12.3441671,23579,10.81496363,25213,11.56442928,27338,12.53910156,29986,13.75365789,29932,13.72888975,20936,9.602700645,9368,4.296814083,190301,87.2852281,19492,8.940382163,1684,0.7723991157,2508,1.150342626,146,0.06696571906,3891,1.78468228
2,Alabama,Barbour,1005,24881,2732,10.98026607,2960,11.89662795,3268,13.13452032,3201,12.86523854,3074,12.35480889,3278,13.17471163,3076,12.36284715,2244,9.018930107,1048,4.212049355,12209,49.06957116,12042,48.39837627,164,0.6591374945,113,0.4541618102,46,0.1848800289,307,1.233873237
3,Alabama,Bibb,1007,22400,2456,10.96428571,2596,11.58928571,3029,13.52232143,3113,13.89732143,3038,13.5625,3115,13.90625,2545,11.36160714,1723,7.691964286,785,3.504464286,17211,76.83482143,4770,21.29464286,98,0.4375,53,0.2366071429,26,0.1160714286,242,1.080357143
4,Alabama,Blount,1009,57840,7095,12.26659751,7570,13.08782849,6742,11.65629322,6884,11.90179806,7474,12.92185339,7844,13.5615491,6965,12.04183956,4931,8.525242047,2335,4.036998617,55456,95.87828492,950,1.642461964,378,0.653526971,185,0.3198478562,70,0.1210235131,801,1.384854772
5,Alabama,Bullock,1011,10138,1198,11.81692642,1130,11.14618268,1395,13.76011048,1446,14.26316828,1274,12.56658118,1356,13.37541921,1219,12.02406786,703,6.934306569,417,4.113237325,2661,26.24778063,7168,70.70428092,85,0.8384296705,19,0.1874136911,76,0.7496547643,129,1.272440324
6,Alabama,Butler,1013,19680,2351,11.94613821,2461,12.5050813,2286,11.61585366,2337,11.875,2318,11.77845528,2491,12.65752033,2683,13.63313008,1660,8.43495935,1093,5.553861789,10283,52.25101626,8839,44.91361789,74,0.3760162602,259,1.316056911,10,0.05081300813,215,1.092479675
7,Alabama,Calhoun,1015,114277,13141,11.49925182,14637,12.80835164,15463,13.53115675,13865,12.13280013,13727,12.01204092,15325,13.41039754,14641,12.8118519,8979,7.857224113,4499,3.936925191,86026,75.27848998,24153,21.13548658,617,0.5399161686,1102,0.9643235297,126,0.1102584072,2253,1.971525329
8,Alabama,Chambers,1017,33615,3869,11.50974267,3812,11.34017552,4380,13.02989737,3734,11.10813625,4078,12.13148892,4761,14.16331995,4492,13.36308196,2972,8.84129109,1517,4.51286628,19182,57.0638108,13446,40,103,0.3064108285,446,1.326788636,15,0.04462293619,423,1.258366801
9,Alabama,Cherokee,1019,26032,2554,9.811001844,2981,11.45129072,2852,10.95574677,2504,9.618930547,3204,12.3079287,3873,14.87784266,3946,15.15826675,2835,10.89044253,1283,4.928549478,24217,93.02781192,1109,4.260141364,172,0.6607252612,88,0.3380454825,8,0.0307314075,438,1.682544561
10,Alabama,Chilton,1021,44153,5652,12.80094218,5818,13.17690757,5566,12.60616493,5233,11.85196929,5655,12.80773673,5932,13.43510067,5359,12.13734061,3334,7.551015786,1604,3.632822232,38459,87.10393405,4579,10.37075623,250,0.5662129414,215,0.4869431296,77,0.1743935859,573,1.297760062
11,Alabama,Choctaw,1023,12841,1324,10.31072346,1489,11.59567012,1402,10.91815279,1289,10.03815902,1478,11.51000701,1947,15.16237053,1824,14.20450121,1371,10.67673857,717,5.583677284,7343,57.18401994,5355,41.70235963,24,0.1869013317,23,0.1791137762,0,0,96,0.7476053267
12,Alabama,Clarke,1025,23920,2704,11.30434783,3045,12.72993311,2911,12.16973244,2557,10.68979933,2871,12.00250836,3419,14.29347826,2996,12.52508361,2220,9.280936455,1197,5.004180602,12781,53.43227425,10674,44.62374582,126,0.5267558528,104,0.4347826087,5,0.02090301003,230,0.9615384615
13,Alabama,Clay,1027,13275,1420,10.69679849,1564,11.78154426,1543,11.62335217,1455,10.96045198,1604,12.08286252,1991,14.99811676,1799,13.55178908,1214,9.145009416,685,5.16007533,11046,83.20903955,1868,14.07156309,72,0.5423728814,32,0.2410546139,0,0,257,1.935969868
14,Alabama,Cleburne,1029,14987,1829,12.20391006,1905,12.71101621,1687,11.25642223,1665,11.10962834,1930,12.87782745,2113,14.0988857,1851,12.35070394,1358,9.061186362,649,4.330419697,14234,94.97564556,441,2.94255021,74,0.4937612598,33,0.2201908321,11,0.07339694402,194,1.294455195
15,Alabama,Coffee,1031,51909,6605,12.72419041,6828,13.15378836,6312,12.15974109,6586,12.68758789,6896,13.28478684,6662,12.83399796,5958,11.47777842,3963,7.634514246,2099,4.043614787,39368,75.84041303,9192,17.70791192,732,1.410160088,849,1.635554528,206,0.3968483307,1562,3.0091121
16,Alabama,Colbert,1033,54762,6248,11.40937146,6318,11.53719733,6811,12.43745663,6424,11.73076221,6666,12.17267448,7508,13.71023703,7290,13.31215076,4847,8.851028085,2650,4.839122019,44138,80.59968591,8875,16.20649355,363,0.6628684124,323,0.5898250612,41,0.07486943501,1022,1.866257624
17,Alabama,Conecuh,1035,12277,1367,11.13464201,1434,11.68037794,1410,11.48489045,1260,10.26309359,1335,10.87399202,1754,14.2868779,1726,14.05880916,1308,10.65406858,683,5.563248351,6339,51.63313513,5680,46.26537428,63,0.5131546795,26,0.2117781217,4,0.03258124949,165,1.343976542
18,Alabama,Coosa,1037,10715,928,8.66075595,1023,9.547363509,1165,10.87260849,1028,9.594027065,1379,12.86980868,1750,16.33224452,1746,16.29491367,1137,10.61129258,559,5.216985534,7167,66.88754083,3309,30.8819412,64,0.5972935138,15,0.1399906673,18,0.1679888007,142,1.325244984
19,Alabama,Covington,1039,36986,4438,11.99913481,4397,11.88828205,4187,11.32049965,4094,11.06905316,4178,11.29616612,5141,13.899854,5037,13.61866652,3508,9.484669875,2006,5.423673823,31269,84.54279998,4664,12.61017682,256,0.6921537879,172,0.4650408263,4,0.01081490294,621,1.679013681
20,Alabama,Crenshaw,1041,13824,1682,12.16724537,1764,12.76041667,1649,11.92853009,1557,11.26302083,1648,11.9212963,1913,13.83825231,1828,13.22337963,1181,8.543113426,602,4.35474537,10062,72.78645833,3244,23.46643519,87,0.6293402778,155,1.121238426,6,0.04340277778,270,1.953125
21,Alabama,Cullman,1043,83442,10276,12.31514106,10256,12.29117231,10389,12.45056446,9926,11.89568802,10335,12.38584885,11234,13.46324393,10452,12.52606601,7221,8.653915294,3353,4.018360058,79985,95.85700247,1116,1.337455957,539,0.6459576712,561,0.6723232904,72,0.08628748112,1169,1.400973131
22,Alabama,Dale,1045,48956,6386,13.04436637,5918,12.08840592,7013,14.32510826,6312,12.89321023,5688,11.61859629,6222,12.70937168,5750,11.74524062,3752,7.664024839,1915,3.911675791,36119,73.77849498,10262,20.96167988,392,0.800719013,695,1.419642128,104,0.2124356565,1384,2.827028352
23,Alabama,Dallas,1047,38310,4767,12.44322631,5345,13.95197076,4753,12.40668233,4298,11.21900287,4154,10.8431219,5259,13.7274863,5112,13.34377447,3059,7.98486035,1563,4.079874706,10630,27.74732446,26994,70.46202036,111,0.2897415818,223,0.5820934482,17,0.04437483686,335,0.8744453145
24,Alabama,DeKalb,1049,71385,8929,12.50823002,10009,14.0211529,8600,12.04734888,8219,11.51362331,9344,13.08958465,9397,13.16382994,8595,12.04034461,5624,7.878405828,2668,3.737479863,66184,92.71415563,1325,1.856132241,1449,2.029838201,368,0.5155144638,457,0.6401905162,1602,2.244168943
25,Alabama,Elmore,1051,81887,9635,11.76621442,10359,12.65035964,11143,13.60777657,11007,13.44169404,11003,13.43680926,11202,13.67982708,9251,11.29727551,5758,7.031641164,2529,3.088402311,61800,75.4698548,17570,21.45639723,425,0.5190079011,581,0.7095143307,95,0.1160135308,1416,1.729212207
26,Alabama,Escambia,1053,36748,4526,12.31631653,4427,12.04691412,4757,12.94492217,4606,12.53401546,4695,12.77620551,4863,13.23337324,4319,11.75302057,3054,8.310656362,1501,4.084576031,22792,62.02242299,11639,31.67247197,1423,3.872319582,112,0.3047784913,23,0.06258844019,759,2.065418526
27,Alabama,Etowah,1055,102501,11836,11.54720442,12443,12.13939376,12828,12.51499985,11852,11.56281402,13307,12.98231237,13726,13.39108887,13446,13.1179208,8812,8.596989298,4251,4.147276612,82796,80.77579731,16094,15.70131023,624,0.6087745485,852,0.8312114028,318,0.3102408757,1817,1.772665633
28,Alabama,Fayette,1057,16433,1878,11.4282237,1943,11.82376924,1966,11.96373152,1777,10.81360677,1994,12.13412037,2235,13.60068156,2258,13.74064383,1595,9.706079231,787,4.789143796,14076,85.65690988,1970,11.98807278,77,0.4685693422,72,0.4381427615,0,0,238,1.448305239
