forecast_date,target,target_end_date,location,type,quantile,value
2021-02-21,1 wk ahead cum death,2021-02-27,US,point,NA,509656
2021-02-21,2 wk ahead cum death,2021-03-06,US,point,NA,520471
2021-02-21,3 wk ahead cum death,2021-03-13,US,point,NA,532791
2021-02-21,4 wk ahead cum death,2021-03-20,US,point,NA,544795
2021-02-21,1 wk ahead inc death,2021-02-27,US,point,NA,12177
2021-02-21,2 wk ahead inc death,2021-03-06,US,point,NA,9879
2021-02-21,3 wk ahead inc death,2021-03-13,US,point,NA,11384
2021-02-21,4 wk ahead inc death,2021-03-20,US,point,NA,11069
2021-02-21,1 wk ahead cum death,2021-02-27,01,point,NA,10109
2021-02-21,2 wk ahead cum death,2021-03-06,01,point,NA,10501
2021-02-21,3 wk ahead cum death,2021-03-13,01,point,NA,11029
2021-02-21,4 wk ahead cum death,2021-03-20,01,point,NA,11511
2021-02-21,1 wk ahead cum death,2021-02-27,02,point,NA,310
2021-02-21,2 wk ahead cum death,2021-03-06,02,point,NA,322
2021-02-21,3 wk ahead cum death,2021-03-13,02,point,NA,334
2021-02-21,4 wk ahead cum death,2021-03-20,02,point,NA,343
2021-02-21,1 wk ahead cum death,2021-02-27,04,point,NA,15970
2021-02-21,2 wk ahead cum death,2021-03-06,04,point,NA,16345
2021-02-21,3 wk ahead cum death,2021-03-13,04,point,NA,16746
2021-02-21,4 wk ahead cum death,2021-03-20,04,point,NA,17172
2021-02-21,1 wk ahead cum death,2021-02-27,05,point,NA,5512
2021-02-21,2 wk ahead cum death,2021-03-06,05,point,NA,5635
2021-02-21,3 wk ahead cum death,2021-03-13,05,point,NA,5793
2021-02-21,4 wk ahead cum death,2021-03-20,05,point,NA,5953
2021-02-21,1 wk ahead cum death,2021-02-27,06,point,NA,51212
2021-02-21,2 wk ahead cum death,2021-03-06,06,point,NA,52826
2021-02-21,3 wk ahead cum death,2021-03-13,06,point,NA,54471
2021-02-21,4 wk ahead cum death,2021-03-20,06,point,NA,56105
2021-02-21,1 wk ahead cum death,2021-02-27,08,point,NA,5990
2021-02-21,2 wk ahead cum death,2021-03-06,08,point,NA,6079
2021-02-21,3 wk ahead cum death,2021-03-13,08,point,NA,6178
2021-02-21,4 wk ahead cum death,2021-03-20,08,point,NA,6259
2021-02-21,1 wk ahead cum death,2021-02-27,09,point,NA,7655
2021-02-21,2 wk ahead cum death,2021-03-06,09,point,NA,7763
2021-02-21,3 wk ahead cum death,2021-03-13,09,point,NA,7867
2021-02-21,4 wk ahead cum death,2021-03-20,09,point,NA,7975
2021-02-21,1 wk ahead cum death,2021-02-27,10,point,NA,1392
2021-02-21,2 wk ahead cum death,2021-03-06,10,point,NA,1417
2021-02-21,3 wk ahead cum death,2021-03-13,10,point,NA,1435
2021-02-21,4 wk ahead cum death,2021-03-20,10,point,NA,1462
2021-02-21,1 wk ahead cum death,2021-02-27,11,point,NA,1020
2021-02-21,2 wk ahead cum death,2021-03-06,11,point,NA,1035
2021-02-21,3 wk ahead cum death,2021-03-13,11,point,NA,1054
2021-02-21,4 wk ahead cum death,2021-03-20,11,point,NA,1072
2021-02-21,1 wk ahead cum death,2021-02-27,12,point,NA,30705
2021-02-21,2 wk ahead cum death,2021-03-06,12,point,NA,31552
