forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-06-14,1 day ahead cum death,2020-06-15,US,US,point,NA,116339.7063061595
2020-06-14,2 day ahead cum death,2020-06-16,US,US,point,NA,117313.43216344714
2020-06-14,3 day ahead cum death,2020-06-17,US,US,point,NA,118213.03339031339
2020-06-14,4 day ahead cum death,2020-06-18,US,US,point,NA,119057.55056366324
2020-06-14,5 day ahead cum death,2020-06-19,US,US,point,NA,119883.23960211873
2020-06-14,6 day ahead cum death,2020-06-20,US,US,point,NA,120615.41074696183
2020-06-14,7 day ahead cum death,2020-06-21,US,US,point,NA,120862.29462972283
2020-06-14,8 day ahead cum death,2020-06-22,US,US,point,NA,121642.057246387
2020-06-14,9 day ahead cum death,2020-06-23,US,US,point,NA,122618.27676925063
2020-06-14,10 day ahead cum death,2020-06-24,US,US,point,NA,123520.60496926308
2020-06-14,11 day ahead cum death,2020-06-25,US,US,point,NA,124400.51944854856
2020-06-14,12 day ahead cum death,2020-06-26,US,US,point,NA,125225.20183542371
2020-06-14,13 day ahead cum death,2020-06-27,US,US,point,NA,126012.39695826173
2020-06-14,14 day ahead cum death,2020-06-28,US,US,point,NA,126271.89777547121
2020-06-14,1 day ahead cum death,2020-06-15,01,Alabama,point,NA,810.538303643465
2020-06-14,2 day ahead cum death,2020-06-16,01,Alabama,point,NA,816.349972486496
2020-06-14,3 day ahead cum death,2020-06-17,01,Alabama,point,NA,826.5632698237896
2020-06-14,4 day ahead cum death,2020-06-18,01,Alabama,point,NA,830.9829693734646
2020-06-14,5 day ahead cum death,2020-06-19,01,Alabama,point,NA,842.2164125144482
2020-06-14,6 day ahead cum death,2020-06-20,01,Alabama,point,NA,852.0127982199192
2020-06-14,7 day ahead cum death,2020-06-21,01,Alabama,point,NA,848.7480687499046
2020-06-14,8 day ahead cum death,2020-06-22,01,Alabama,point,NA,889.8294509351254
2020-06-14,9 day ahead cum death,2020-06-23,01,Alabama,point,NA,899.2495347559452
2020-06-14,10 day ahead cum death,2020-06-24,01,Alabama,point,NA,917.3344229459763
2020-06-14,11 day ahead cum death,2020-06-25,01,Alabama,point,NA,932.0489474236965
2020-06-14,12 day ahead cum death,2020-06-26,01,Alabama,point,NA,954.256541877985
2020-06-14,13 day ahead cum death,2020-06-27,01,Alabama,point,NA,970.3151532113552
2020-06-14,14 day ahead cum death,2020-06-28,01,Alabama,point,NA,979.78482863307
2020-06-14,1 day ahead cum death,2020-06-15,02,Alaska,point,NA,34.32072639465332
2020-06-14,2 day ahead cum death,2020-06-16,02,Alaska,point,NA,35.43260645866394
2020-06-14,3 day ahead cum death,2020-06-17,02,Alaska,point,NA,35.50040030479431
2020-06-14,4 day ahead cum death,2020-06-18,02,Alaska,point,NA,35.360475331544876
2020-06-14,5 day ahead cum death,2020-06-19,02,Alaska,point,NA,36.44516384601593
2020-06-14,6 day ahead cum death,2020-06-20,02,Alaska,point,NA,36.75192415714264
2020-06-14,7 day ahead cum death,2020-06-21,02,Alaska,point,NA,36.134009182453156
2020-06-14,8 day ahead cum death,2020-06-22,02,Alaska,point,NA,36.49208930134773
2020-06-14,9 day ahead cum death,2020-06-23,02,Alaska,point,NA,37.684578627347946
2020-06-14,10 day ahead cum death,2020-06-24,02,Alaska,point,NA,37.75047618150711
2020-06-14,11 day ahead cum death,2020-06-25,02,Alaska,point,NA,37.62411227822304
2020-06-14,12 day ahead cum death,2020-06-26,02,Alaska,point,NA,38.72587803006172
2020-06-14,13 day ahead cum death,2020-06-27,02,Alaska,point,NA,39.09694701433182
2020-06-14,14 day ahead cum death,2020-06-28,02,Alaska,point,NA,38.276856034994125
2020-06-14,1 day ahead cum death,2020-06-15,04,Arizona,point,NA,1185.8210439383984
2020-06-14,2 day ahead cum death,2020-06-16,04,Arizona,point,NA,1216.8978484272957
2020-06-14,3 day ahead cum death,2020-06-17,04,Arizona,point,NA,1241.7629177570343
2020-06-14,4 day ahead cum death,2020-06-18,04,Arizona,point,NA,1278.5019198656082
2020-06-14,5 day ahead cum death,2020-06-19,04,Arizona,point,NA,1301.554398238659
2020-06-14,6 day ahead cum death,2020-06-20,04,Arizona,point,NA,1334.3557229042053
2020-06-14,7 day ahead cum death,2020-06-21,04,Arizona,point,NA,1343.1105461716652
2020-06-14,8 day ahead cum death,2020-06-22,04,Arizona,point,NA,1340.6537720263004
2020-06-14,9 day ahead cum death,2020-06-23,04,Arizona,point,NA,1368.2389532327652
2020-06-14,10 day ahead cum death,2020-06-24,04,Arizona,point,NA,1398.8285499215126
2020-06-14,11 day ahead cum death,2020-06-25,04,Arizona,point,NA,1443.1841786503792
2020-06-14,12 day ahead cum death,2020-06-26,04,Arizona,point,NA,1468.8762027919292
2020-06-14,13 day ahead cum death,2020-06-27,04,Arizona,point,NA,1506.0122093260288
2020-06-14,14 day ahead cum death,2020-06-28,04,Arizona,point,NA,1513.6160847842693
2020-06-14,1 day ahead cum death,2020-06-15,05,Arkansas,point,NA,230.5358448624611
2020-06-14,2 day ahead cum death,2020-06-16,05,Arkansas,point,NA,246.0386379957199
2020-06-14,3 day ahead cum death,2020-06-17,05,Arkansas,point,NA,251.62024921178818
2020-06-14,4 day ahead cum death,2020-06-18,05,Arkansas,point,NA,261.3835828602314
2020-06-14,5 day ahead cum death,2020-06-19,05,Arkansas,point,NA,264.06851747632027
2020-06-14,6 day ahead cum death,2020-06-20,05,Arkansas,point,NA,270.0393468439579
2020-06-14,7 day ahead cum death,2020-06-21,05,Arkansas,point,NA,273.23863208293915
2020-06-14,8 day ahead cum death,2020-06-22,05,Arkansas,point,NA,287.99821984767914
2020-06-14,9 day ahead cum death,2020-06-23,05,Arkansas,point,NA,303.1133532822132
2020-06-14,10 day ahead cum death,2020-06-24,05,Arkansas,point,NA,309.3345051705837
2020-06-14,11 day ahead cum death,2020-06-25,05,Arkansas,point,NA,319.876049131155
2020-06-14,12 day ahead cum death,2020-06-26,05,Arkansas,point,NA,325.53001976013184
2020-06-14,13 day ahead cum death,2020-06-27,05,Arkansas,point,NA,340.05878180265427
2020-06-14,14 day ahead cum death,2020-06-28,05,Arkansas,point,NA,342.79294580221176
2020-06-14,1 day ahead cum death,2020-06-15,06,California,point,NA,5147.924067169428
2020-06-14,2 day ahead cum death,2020-06-16,06,California,point,NA,5241.351810008287
2020-06-14,3 day ahead cum death,2020-06-17,06,California,point,NA,5358.301149278879
2020-06-14,4 day ahead cum death,2020-06-18,06,California,point,NA,5438.271144658327
