Week Duration,Best_Parameters,Best_Score,Predict_R2_Score,,
2020-04-27 - 2020-05-11,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",-281.851605,0.887117254,-1.60%,
2020-05-04 - 2020-05-18,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",-157.3698734,0.822849247,1.40%,adding 7 days padding and removing state test and mobility indexes
2020-05-11 - 2020-05-25,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",-26.01559227,0.867236962,6.90%,"max depth - 3,4,5 and splits = 4"
2020-05-18 - 2020-06-01,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",-4.074838252,0.858375009,6.00%,
2020-05-25 - 2020-06-08,"{'colsample_bytree': 0.8, 'learning_rate': 0.08, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.679385811,0.890143255,26.30%,
2020-06-01 - 2020-06-15,"{'colsample_bytree': 0.8, 'learning_rate': 0.08, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.788337349,0.919695627,13.40%,
2020-06-08 - 2020-06-22,"{'colsample_bytree': 0.8, 'learning_rate': 0.08, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.833851871,0.892307436,21.30%,
2020-06-15 - 2020-06-29,"{'colsample_bytree': 0.8, 'learning_rate': 0.08, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.823499519,0.625408821,18.80%,
2020-06-22 - 2020-07-06,"{'colsample_bytree': 0.8, 'learning_rate': 0.08, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.8243203,0.508327199,12.90%,
2020-06-29 - 2020-07-13,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.65657486,0.635667593,18.20%,
2020-07-06 - 2020-07-20,"{'colsample_bytree': 0.8, 'learning_rate': 0.08, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.568799553,0.694713825,-6.70%,
2020-07-13 - 2020-07-27,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.496882957,0.788974776,-22.50%,
2020-07-20 - 2020-08-03,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.504542256,0.822318297,-17.90%,
2020-07-27 - 2020-08-10,"{'colsample_bytree': 0.8, 'learning_rate': 0.08, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.691748038,0.821916277,-10.6,
2020-08-03 - 2020-08-17,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.682066844,0.668698524,7.80%,
2020-08-10 - 2020-08-24,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 200, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.680615486,-0.750120703,,
,,,,,
,,,,,
Week Duration,Best_Parameters,Best_Score,Predict_R2_Score,,
2020-04-27 - 2020-05-11,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",-242.8510525,0.901965931,-9.40%,
2020-05-04 - 2020-05-18,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",-73.46383968,0.875632941,-7.90%,
2020-05-11 - 2020-05-25,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",-12.25049766,0.870514375,-5.70%,
